id,question,A,B,C,Answerkey
55,Is he a teacher?,"No, I'm not.","Yes, he is.","Yes, she is.",B
56,Can you dance?,I can dance.,"No, it's not.","Yes, I can.",C
57,What's that?,It's a pencil.,It's red.,I'm fine.,A
58,How old are you?,It's fifteen.,Thank you.,I'm fifteen.,C
59,Is that a cat?,"No, I'm not.","Yes, I can.","No, it isn't.",C
60,What color is it?,It's orange.,It's a book.,"Yes, it is.",A
61,Who's he?,He's my grandfather.,She's my grandmother.,I am a boy.,A
62,Is she a nurse?,"Yes, he is.","No, it isn't.","Yes, she is.",C
63,Can you read?,"No, I can't.",I am read.,"Yes, she is.",A
64,Is he a driver?,"Yes, she is.",I'm a driver.,"No, he's not.",C
65,Is she tall?,"Yes, he is.","Yes, she is.","No, it's not.",B
66,Is he short?,"No, she isn't.","Yes, I am.","No, he's not.",C
67,What's this?,It's a yellow eraser.,It's a yellow.,"Yes, it is.",A
68,What can you do?,I'm a cook.,She's my mother.,I can write.,C
69,Is that a bird?,"Yes, it is.","No, I'm not.",I can fly.,A
70,How are you?,I'm ten.,How are you?,I'm fine.,C
71,Nice to meet you.,Thank you.,Goodbye.,"Nice to meet you, too.",C
72,What's your name?,I'm ten.,My name is Edison.,He is Edison.,B
73,How old are you?,I'm twelve.,I'm fine.,You're welcome.,A
74,What's that?,"No, it isn't.",It's green.,It's a marker.,C
75,Is it a big dog?,"Yes, I am.","No, it's a small dog.","No, he's not.",B
76,Can you swim?,I can swim.,"Yes, it is.","Yes, I can.",C
77,Who's she?,She's my grandmother.,He's my grandfather.,She is a doctor.,A
78,Is he a student?,"No, she's not.","Yes, I am.","No, he's not.",C
79,What color is it?,It's a pink bird.,It's pink.,"No, it's not.",B
80,Is he a cook?,"Yes, she is.","Yes, he is.",I'm a cook.,B
81,What's this?,It's ruler.,I'm Abu.,It's a ruler.,C
82,Can you jump?,"No, I can't.","Yes, it is.",He can jump.,A
83,Is she a teacher?,"No, he's not.",I'm a teacher.,"Yes, she is.",C
84,Who's he?,He's my brother.,She's my sister.,He is tall.,A
85,Is that a dog?,"Yes, I can.","No, I'm not.","Yes, it is.",C
86,How old are you?,I'm fine.,I'm thirteen.,It's thirteen.,B
87,What can you do?,He can draw.,I can draw.,She is a nurse.,B
88,Is he a doctor?,"No, she isn't.",He is a doctor.,"Yes, he is.",C
89,Is she short?,"Yes, he is.","Yes, she is.","No, it's not.",B
90,What's your name?,I'm nine.,My name Teddy.,I'm Teddy.,C
91,What color is it?,It's a pen.,It's black.,"Yes, it is.",B
92,Is he your father?,"Yes, he is.","Yes, she is.",I'm his father.,A
93,Who's she?,He's my father.,I'm Mia.,She's my mother.,C
94,Can you write?,I can write.,"No, he can't.","Yes, I can.",C
95,Is she a nurse?,"No, she's not.","No, he's not.","Yes, I am.",A
96,What's that?,I'm a student.,It's green.,It's a book.,C
97,How are you?,I'm seven.,"I'm fine, thank you.",You're welcome.,B
98,Goodbye.,Good morning.,See you later.,Try again.,B
99,Is it a big cat?,"No, it's a small cat.","Yes, I can.","No, she isn't.",A
100,What's your name?,He is Amber.,It's Amber.,I am Amber.,C
